"year","leading_cause","sex","race_ethnicity","deaths","death_rate","age_adjusted_death_rate"
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Non-Hispanic White",4034,307.7768198,224.9990183
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Non-Hispanic White",4001,291.7699153,141.5642319
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Non-Hispanic White",2785,212.4835011,163.7927192
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Non-Hispanic White",2655,193.6138778,124.3381382
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Non-Hispanic Black",2483,249.0161705,173.1869461
2019,"All Other Causes","Male","Non-Hispanic White",2366,180.5156063,139.6400628
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Non-Hispanic Black",2315,279.3451137,279.643801
2019,"All Other Causes","Female","Non-Hispanic White",2264,165.1004969,96.12840989
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Non-Hispanic Black",1753,175.805617,132.4018003
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Hispanic",1603,136.8029917,176.783287
2019,"All Other Causes","Female","Non-Hispanic Black",1578,158.2551418,123.7629009
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Hispanic",1574,125.7357217,111.7353368
2019,"All Other Causes","Male","Non-Hispanic Black",1507,181.8458256,182.6826072
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Non-Hispanic Black",1421,171.4684262,168.4803046
2019,"All Other Causes","Male","Hispanic",1395,119.0518861,143.485633
2019,"All Other Causes","Female","Hispanic",1279,102.1702593,93.37882892
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Hispanic",1182,94.42161568,87.06528773
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Hispanic",1164,99.3379179,121.5817693
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Asian and Pacific Islander",731,124.7523299,119.3723376
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Asian and Pacific Islander",671,114.5127406,105.9242636
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Asian and Pacific Islander",623,96.18932777,78.8163246
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Asian and Pacific Islander",582,89.85905098,75.79927081
2019,"All Other Causes","Male","Asian and Pacific Islander",549,93.69224232,90.70089869
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Female","Non-Hispanic White",480,35.00363892,19.22599409
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Male","Hispanic",423,36.09960418,35.70789583
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Male","Non-Hispanic White",418,31.89159908,28.91253713
2019,"All Other Causes","Female","Asian and Pacific Islander",401,61.91319492,53.34011786
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Non-Hispanic White",390,28.44045662,14.41986136
2019,"Diabetes Mellitus (E10-E14)","Female","Non-Hispanic Black",383,38.41046851,27.78150486
2019,"Diabetes Mellitus (E10-E14)","Male","Non-Hispanic Black",377,45.49162327,44.92295145
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Male","Non-Hispanic White",373,28.45829296,20.77153997
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Non-Hispanic White",342,26.09312652,19.10848654
2019,"Alzheimer's Disease (G30)","Female","Non-Hispanic White",341,24.86716848,10.50871683
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Non-Hispanic Black",316,31.69114373,22.36321122
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Non-Hispanic White",308,22.46066831,11.14077883
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Male","Non-Hispanic Black",294,35.4762261,32.35415157
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Non-Hispanic Black",290,29.08364456,20.45669126
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Non-Hispanic White",272,20.75242811,16.68493048
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Male","Non-Hispanic White",266,20.29465396,14.85203326
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Hispanic",249,19.89084797,17.65789189
2019,"Diabetes Mellitus (E10-E14)","Male","Non-Hispanic White",248,18.92133151,14.48032854
2019,"Diabetes Mellitus (E10-E14)","Male","Hispanic",245,20.9087542,25.40934387
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Female","Non-Hispanic Black",242,24.26979995,18.07759942
2019,"Alzheimer's Disease (G30)","Female","Hispanic",231,18.45295535,15.93330728
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Male","Non-Hispanic Black",228,27.51217534,27.14739223
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Non-Hispanic White",228,16.62672849,8.218487701
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Non-Hispanic Black",227,22.7654735,16.24829465
2019,"Diabetes Mellitus (E10-E14)","Female","Hispanic",214,17.09494565,15.49801993
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Non-Hispanic Black",211,25.46082894,25.79699843
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Male","Non-Hispanic Black",210,25.3401615,25.6023163
2019,"Diabetes Mellitus (E10-E14)","Female","Non-Hispanic White",197,14.36607681,8.62864342
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Male","Non-Hispanic White",194,14.80136417,13.5805479
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Not Stated/Unknown",193,237.3748555,414.5944733
